doc_id,pdf_id,clube,tipo_evento_modelo,titulo_noticia,data_publicacao,url_noticia,titulo_documento,data_documento,fonte_documento,url_documento,arquivo_documento,ficheiro_pdf,ficheiro_texto,diferenca_dias,candidato_rank,correspondencia_valida,tipo_documento_validado,notas_validacao
002e8661d218e5f8,e3d8bdeefc4e0410,sporting,bond_issuance,Juiz rejeitou candidatura de Isaltino por causa do cabeçalho – Observador,2017-08-10,http://observador.pt/2017/08/10/juiz-rejeitou-candidatura-de-isaltino-por-causa-do-cabecalho/,,2017-08-11,cmvm,http://web3.cmvm.pt/sdi/emitentes/docs/FR64830.pdf,https://arquivo.pt/wayback/20170811153654/http://web3.cmvm.pt/sdi/emitentes/docs/FR64830.pdf,/content/drive/MyDrive/Colab Notebooks/projeto_nlp/raw_pdf/e3d8bdeefc4e0410.pdf,/content/drive/MyDrive/Colab Notebooks/projeto_nlp/textos_pdf/e3d8bdeefc4e0410.txt,1.0,1,,,
004468f91f2805ed,5c32247b1eb4ad8f,benfica,bond_issuance,Vanessa Fernandes regressa ao triatlo com o 13.º lugar na Taça da Europa de Quarteira – Observador,2017-04-01,http://observador.pt/2017/04/01/vanessa-fernandes-regressa-ao-triatlo-com-o-13-o-lugar-na-taca-da-europa-de-quarteira/,"Sport Lisboa e Benfica - Futebol, SAD",2017-03-06,benfica,http://www.slbenfica.pt/Portals/0/Documentos/Relatorio3TrimBenficaSAD20142015.pdf,https://arquivo.pt/wayback/20170306112938/http://www.slbenfica.pt/Portals/0/Documentos/Relatorio3TrimBenficaSAD20142015.pdf,/content/drive/MyDrive/Colab Notebooks/projeto_nlp/raw_pdf/5c32247b1eb4ad8f.pdf,/content/drive/MyDrive/Colab Notebooks/projeto_nlp/textos_pdf/5c32247b1eb4ad8f.txt,26.0,1,,,
004b32f7f4837344,70945a6c5430b335,porto,bank_financing,Tenista Pedro Sousa falha acesso ao quadro principal de Roland Garros – Observador,2017-05-25,http://observador.pt/2017/05/25/tenista-pedro-sousa-falha-acesso-ao-quadro-principal-de-roland-garros/,Microsoft Word - Convocatoria AG SAD 2012 - Propostas.docx,2017-08-06,cmvm,http://web3.cmvm.pt/sdi2004/emitentes/docs/CONV41835.pdf,https://arquivo.pt/wayback/20170806084040/http://web3.cmvm.pt/sdi2004/emitentes/docs/CONV41835.pdf,/content/drive/MyDrive/Colab Notebooks/projeto_nlp/raw_pdf/70945a6c5430b335.pdf,/content/drive/MyDrive/Colab Notebooks/projeto_nlp/textos_pdf/70945a6c5430b335.txt,73.0,1,,,
0076976aae80a8ef,7c3273a20d1dee48,benfica,bond_issuance,Especialistas reunidos por causa da pandemia. Veja aqui em direto | ECO,2020-09-07,https://eco.sapo.pt/2020/09/07/especialistas-reunidos-por-causa-da-pandemia-veja-aqui-em-direto/amp/,,2020-09-13,cmvm,https://web3.cmvm.pt:80/sdi/emitentes/docs/fsd913444.pdf,https://arquivo.pt/wayback/20200913132427/https://web3.cmvm.pt:80/sdi/emitentes/docs/fsd913444.pdf,/content/drive/MyDrive/Colab Notebooks/projeto_nlp/raw_pdf/7c3273a20d1dee48.pdf,/content/drive/MyDrive/Colab Notebooks/projeto_nlp/textos_pdf/7c3273a20d1dee48.txt,6.0,1,,,
0086f89255749a74,239c8f56effa50b7,porto,bond_issuance,Britânico Michael Rutter declarado vencedor do GP de Macau de Motos – Observador,2019-11-16,https://observador.pt/2019/11/16/britanico-michael-rutter-declarado-vencedor-do-gp-de-macau-de-motos/,Microsoft Word - RC_Consolidado_2012-2013.docx,2019-11-16,cmvm,https://web3.cmvm.pt/sdi2004/emitentes/docs/pc47279.pdf,https://arquivo.pt/wayback/20191116061538/https://web3.cmvm.pt/sdi2004/emitentes/docs/pc47279.pdf,/content/drive/MyDrive/Colab Notebooks/projeto_nlp/raw_pdf/239c8f56effa50b7.pdf,/content/drive/MyDrive/Colab Notebooks/projeto_nlp/textos_pdf/239c8f56effa50b7.txt,0.0,1,,,
008926bfb813f739,72560fbe092c3610,benfica,bond_issuance,Rota dos saldos: 10 compras a manter debaixo de olho – Observador,2018-12-27,https://observador.pt/2018/12/27/rota-dos-saldos-10-compras-a-manter-debaixo-de-olho/,"Relatório do Conselho de Administração da Sport Lisboa e Benfica  Futebol, SAD, elaborado nos termo",2018-12-27,benfica,https://media.slbenfica.pt/-/media/benficadp/images/generic_content_pages/slb/sad/ofertas_publicas_aquisicao/10-07-2007-sad-oferta-publica-de-aquisicao-parcial-e-voluntaria-anunciada-pela-metalgest.pdf?la=pt-pt&v=636289727300000000&hash=ED399F3AD05B505AC6E3A96C69E7649057CC16D9,https://arquivo.pt/wayback/20181227123716/https://media.slbenfica.pt/-/media/benficadp/images/generic_content_pages/slb/sad/ofertas_publicas_aquisicao/10-07-2007-sad-oferta-publica-de-aquisicao-parcial-e-voluntaria-anunciada-pela-metalgest.pdf?la=pt-pt&v=636289727300000000&hash=ED399F3AD05B505AC6E3A96C69E7649057CC16D9,/content/drive/MyDrive/Colab Notebooks/projeto_nlp/raw_pdf/72560fbe092c3610.pdf,/content/drive/MyDrive/Colab Notebooks/projeto_nlp/textos_pdf/72560fbe092c3610.txt,0.0,1,,,
00914450d42e969e,1707a517d17f3f8e,porto,bank_financing,O que mudou em Angola desde o século XIX – Observador,2017-04-16,http://observador.pt/2017/04/16/o-que-mudou-em-angola-desde-o-seculo-xix/,Microsoft Word - RC_Consolidado_2013-2014,2017-03-04,porto,http://www.fcporto.pt/Relatrios%20de%20Contas/RCConsolidado20132014.pdf,https://arquivo.pt/wayback/20170304065045/http://www.fcporto.pt/Relatrios%20de%20Contas/RCConsolidado20132014.pdf,/content/drive/MyDrive/Colab Notebooks/projeto_nlp/raw_pdf/1707a517d17f3f8e.pdf,/content/drive/MyDrive/Colab Notebooks/projeto_nlp/textos_pdf/1707a517d17f3f8e.txt,43.0,1,,,
00a829da3e32a454,70945a6c5430b335,porto,bond_issuance,"Quem é, o que faz e como pensa Eduardo Santos, o fisioterapeuta que recuperou Marega em tempo record",2019-03-01,https://observador.pt/2019/03/01/quem-e-o-que-faz-e-como-pensa-eduardo-santos-o-fisioterapeuta-que-recuperou-marega-em-tempo-recorde/,Microsoft Word - Convocatoria AG SAD 2012 - Propostas.docx,2019-04-20,cmvm,https://web3.cmvm.pt/sdi2004/emitentes/docs/CONV41835.pdf,https://arquivo.pt/wayback/20190420184154/https://web3.cmvm.pt/sdi2004/emitentes/docs/CONV41835.pdf,/content/drive/MyDrive/Colab Notebooks/projeto_nlp/raw_pdf/70945a6c5430b335.pdf,/content/drive/MyDrive/Colab Notebooks/projeto_nlp/textos_pdf/70945a6c5430b335.txt,50.0,1,,,
00b228aba7430d0f,b7784f57197c608f,benfica,bond_issuance,Com ou sem Walter White? Vem aí um filme sobre a série Breaking Bad — e já há trailer – Observador,2019-08-25,https://observador.pt/2019/08/25/com-ou-sem-walter-white-vem-ai-um-filme-sobre-a-serie-breaking-bad-e-ja-ha-trailer/,,2019-08-31,cmvm,https://web3.cmvm.pt/SDI/emitentes/docs/PCS73170.pdf,https://arquivo.pt/wayback/20190831174528/https://web3.cmvm.pt/SDI/emitentes/docs/PCS73170.pdf,/content/drive/MyDrive/Colab Notebooks/projeto_nlp/raw_pdf/b7784f57197c608f.pdf,/content/drive/MyDrive/Colab Notebooks/projeto_nlp/textos_pdf/b7784f57197c608f.txt,6.0,1,,,
00c1071fef41c553,30ade5d49b4b6638,benfica,bond_issuance,“O Pintassilgo”: o rapaz e o segredo do quadro desaparecido – Observador,2019-09-12,https://observador.pt/2019/09/12/o-pintassilgo-o-rapaz-e-o-segredo-do-quadro-desaparecido/,"Sport Lisboa e Benfica - Futebol, SAD",2019-09-14,cmvm,https://web3.cmvm.pt:80/sdi2004/emitentes/docs/FR46922.pdf,https://arquivo.pt/wayback/20190914132243/https://web3.cmvm.pt:80/sdi2004/emitentes/docs/FR46922.pdf,/content/drive/MyDrive/Colab Notebooks/projeto_nlp/raw_pdf/30ade5d49b4b6638.pdf,/content/drive/MyDrive/Colab Notebooks/projeto_nlp/textos_pdf/30ade5d49b4b6638.txt,2.0,1,,,
0102c4f926ec0684,e3d8bdeefc4e0410,sporting,bank_financing,Greve na Autoeuropa. Produção está totalmente parada – Observador,2017-08-30,http://observador.pt/2017/08/30/greve-na-autoeuropa-producao-esta-totalmente-parada/,,2017-08-11,cmvm,http://web3.cmvm.pt/sdi/emitentes/docs/FR64830.pdf,https://arquivo.pt/wayback/20170811153654/http://web3.cmvm.pt/sdi/emitentes/docs/FR64830.pdf,/content/drive/MyDrive/Colab Notebooks/projeto_nlp/raw_pdf/e3d8bdeefc4e0410.pdf,/content/drive/MyDrive/Colab Notebooks/projeto_nlp/textos_pdf/e3d8bdeefc4e0410.txt,19.0,1,,,
01242f7a8f2aba38,85f987495071c7b3,sporting,capital_increase,Banco de Portugal já saberia dos riscos nove meses antes da queda do BES – Observador,2017-03-01,https://observador.pt/2017/03/01/banco-de-portugal-ja-saberia-dos-riscos-nove-meses-antes-da-queda-do-bes/,(Microsoft Word - Aumento Capital Sporting SAD_An\372ncio Resultados _final_.DOC),2017-02-28,cmvm,http://web3.cmvm.pt/sdi2004/emitentes/docs/fsd19174.pdf,https://arquivo.pt/wayback/20170228162038/http://web3.cmvm.pt/sdi2004/emitentes/docs/fsd19174.pdf,/content/drive/MyDrive/Colab Notebooks/projeto_nlp/raw_pdf/85f987495071c7b3.pdf,/content/drive/MyDrive/Colab Notebooks/projeto_nlp/textos_pdf/85f987495071c7b3.txt,1.0,1,,,
0132b64d27a7585c,70945a6c5430b335,porto,bank_financing,"Mortalidade materna e desnutrição devem ser prioridades em Moçambique, diz OMS – Observador",2017-05-24,http://observador.pt/2017/05/24/mortalidade-materna-e-desnutricao-devem-ser-prioridades-em-mocambique-diz-oms/,Microsoft Word - Convocatoria AG SAD 2012 - Propostas.docx,2017-08-06,cmvm,http://web3.cmvm.pt/sdi2004/emitentes/docs/CONV41835.pdf,https://arquivo.pt/wayback/20170806084040/http://web3.cmvm.pt/sdi2004/emitentes/docs/CONV41835.pdf,/content/drive/MyDrive/Colab Notebooks/projeto_nlp/raw_pdf/70945a6c5430b335.pdf,/content/drive/MyDrive/Colab Notebooks/projeto_nlp/textos_pdf/70945a6c5430b335.txt,74.0,1,,,
